fbref_id,FPL Code,fpl_id,Name
240c8ab6,440120,710,Chesters
dd897ee7,463034,704,Delap
e814e1cf,461421,607,Dobbin
d313e8ff,432711,651,Egan-Riley
4596da74,487117,655,Ferguson
d102b8a2,477547,608,Hjelde
7aa8adfe,493105,723,Garnacho
def899bd,76359,632,Jones
e717705a,195728,589,Kral
939bc634,57513,673,Lössl
96593e89,432714,629,McAtee
b2c66859,461587,647,McAteer
1000a059,473342,601,McKinstry
2bc28bb9,440148,620,Morton
93cf32a8,52775,618,Nkoulou
e7ee38c3,111782,691,Olsen
d86a1f3e,461446,630,Onyango
87f12e30,496228,634,Perkins
ac0d576d,441192,612,Sarmiento
00f0482f,472464,727,Shoretire
26d3b5be,218997,602,Simms
9a104dee,66838,622,Tosun
f9682888,460029,640,Young-Coombes
